Sample no#,Specimen no#,Flea species,flea subspecies/morphotype,total fleas,Females,Males,Slide,cox1,Fig5 (multigene),Fig6 (clades),Fig7 (haplotype),cox1 haplotype,Note,Clade 1,Cluster,ID,cox1,cox2,Histone H3,EF-1a,Continent,Country,State/Province/Island,Town/Region,Latitude,Longitude,Host scientific name,Host,Collection date,Collector,Notes
AL645,unprocessed,Ctenocephalides felis,felis,1,0,1,0,0,0,0,0,,,,,,,,,,North America,USA,Washington State,Seattle,47.7149,-122.3555,Canis lupus familiaris,dog,12-November-2014,Tammy Majeski & Shannon Donahoe,
AL646,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,North America,USA,Washington State,Seattle,47.7149,-122.3555,Canis lupus familiaris,dog,15-October-2014,Tammy Majeski & Shannon Donahoe,
AL647,unprocessed,Ctenocephalides felis,felis,2,2,0,0,0,0,0,0,,,,,,,,,,North America,USA,Washington State,Seattle,47.7149,-122.3555,Canis lupus familiaris,dog,20-November-2014,Tammy Majeski & Shannon Donahoe,
AL648,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,North America,USA,Washington State,Seattle,47.7149,-122.3555,Felis catus,cat,26-November-2014,Tammy Majeski & Shannon Donahoe,
AL649,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,North America,USA,Washington State,Seattle,47.7149,-122.3555,Felis catus,cat,08-October-2014,Tammy Majeski & Shannon Donahoe,
AL650,unprocessed,Ctenocephalides felis,felis,1,0,1,0,0,0,0,0,,,,,,,,,,North America,USA,Washington State,Seattle,47.7149,-122.3555,Felis catus,cat,02-December-2014,Tammy Majeski & Shannon Donahoe,
AL651,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,North America,USA,Washington State,Seattle,47.7149,-122.3555,Canis lupus familiaris,dog,09-October-2014,Tammy Majeski & Shannon Donahoe,
AL652,unprocessed,Ctenocephalides felis,felis,1,0,1,0,0,0,0,0,,,,,,,,,,North America,USA,Washington State,Seattle,47.7149,-122.3555,Felis catus,cat,02-October-2014,Tammy Majeski & Shannon Donahoe,
AL653,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,North America,USA,Washington State,Seattle,47.7149,-122.3555,Felis catus,cat,29-November-2014,Tammy Majeski & Shannon Donahoe,
AL654,unprocessed,Ctenocephalides felis,felis,4,3,1,0,0,0,0,0,,,,,,,,,,North America,USA,Washington State,Seattle,47.7149,-122.3555,Felis catus,cat,03-December-2014,Tammy Majeski & Shannon Donahoe,
AL655,unprocessed,Ctenocephalides felis,felis,3,2,1,0,0,0,0,0,,,,,,,,,,North America,USA,Washington State,Seattle,47.7149,-122.3555,Felis catus,cat,10-October-2014,Tammy Majeski & Shannon Donahoe,
AL656,unprocessed,Ctenocephalides felis,felis,4,4,0,0,0,0,0,0,,,,,,,,,,North America,USA,Washington State,Seattle,47.3055,-122.3744,Felis catus,cat,26-November-2014,Shannon Donahoe,
AL657,unprocessed,Ctenocephalides felis,felis,3,3,0,0,0,0,0,0,,,,,,,,,,North America,USA,Washington State,Seattle,47.3055,-122.3744,Felis catus,cat,26-November-2014,Shannon Donahoe,
AL658,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,North America,USA,Washington State,Seattle,47.3055,-122.3744,Felis catus,cat,25-November-2014,Shannon Donahoe,
AL659,unprocessed,Ctenocephalides felis,felis,9,9,0,0,0,0,0,0,,,,,,,,,,North America,USA,Washington State,Seattle,47.3055,-122.3744,Felis catus,cat,25-November-2014,Shannon Donahoe,
AL660,unprocessed,Ctenocephalides felis,felis,5,3,2,0,0,0,0,0,,,,,,,,,,North America,USA,Washington State,Pasco,46.2396,-119.1006,Felis catus,cat,15-October-2014,Jennifer Corwin,
AL661,unprocessed,Ctenocephalides felis,felis,41,29,12,0,0,0,0,0,,,,,,,,,,North America,USA,Washington State,Seattle,47.3055,-122.3744,Felis catus or Canis Lupus familiaris,cat or dog,01-November-2014,Shannon Donahoe,
AL662,unprocessed,Ctenocephalides felis,felis,3,3,0,0,0,0,0,0,,,,,,,,,,North America,USA,Washington State,Seattle,47.3055,-122.3744,Felis catus or Canis Lupus familiaris,cat or dog,01-November-2014,Shannon Donahoe,
AL663,unprocessed,Ctenocephalides felis,felis,6,4,2,0,0,0,0,0,,,,,,,,,,North America,USA,Washington State,Seattle,47.3055,-122.3744,Felis catus ,cat,22-November-2014,Shannon Donahoe,
AL664,unprocessed,Ctenocephalides felis,felis,78,62,16,0,0,0,0,0,,,,,,,,,,North America,USA,Washington State,Seattle,47.3055,-122.3744,Canis lupus familiaris,dog,01-November-2014,Shannon Donahoe,
AL665,unprocessed,Ctenocephalides felis,felis,3,3,0,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,25-July-2014,Aarti Amin,
AL666,unprocessed,Ctenocephalides felis,felis,1,0,1,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Canis lupus familiaris,owned dog,23-July-2014,Aarti Amin,
AL667,unprocessed,Ctenocephalides felis,felis,3,1,2,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,20-August-2014,Aarti Amin,
AL668,unprocessed,Ctenocephalides felis,felis,3,2,1,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,02-August-2014,Aarti Amin,
AL669,unprocessed,Ctenocephalides felis,felis,4,3,1,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,30-July-2014,Aarti Amin,
AL670,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Raynes Park,51.4067,-0.2322,Felis catus ,owned cat,02-August-2014,Aarti Amin,
AL671,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,01-August-2014,Aarti Amin,
AL672,unprocessed,Ctenocephalides felis,felis,3,3,0,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,25-July-2014,Aarti Amin,
AL673,unprocessed,Ctenocephalides felis,felis,5,3,2,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,24-July-2014,Aarti Amin,
AL674,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,24-July-2014,Aarti Amin,
AL675,unprocessed,Ctenocephalides felis,felis,5,5,0,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,01-August-2014,Aarti Amin,
AL676,unprocessed,Ctenocephalides felis,felis,6,1,5,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,13-August-2014,Aarti Amin,
AL677,unprocessed,Ctenocephalides felis,felis,2,1,1,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,24-July-2014,Aarti Amin,
AL678,unprocessed,Ctenocephalides felis,felis,1,0,1,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,30-July-2014,Aarti Amin,
AL679,unprocessed,Ctenocephalides felis,felis,3,2,1,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,18-August-2014,Aarti Amin,
AL680,unprocessed,Ctenocephalides felis,felis,5,4,1,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,01-August-2014,Aarti Amin,
AL681,unprocessed,Ctenocephalides felis,felis,2,2,0,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,04-August-2014,Aarti Amin,
AL682,unprocessed,Ctenocephalides felis,felis,6,5,1,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,20-August-2014,Aarti Amin,
AL683,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Raynes Park,51.4067,-0.2322,Felis catus ,owned cat,01-August-2014,Aarti Amin,
AL684,unprocessed,Ctenocephalides felis,felis,5,5,0,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,29-July-2014,Aarti Amin,
AL685,unprocessed,Ctenocephalides felis,felis,2,2,0,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,09-August-2014,Aarti Amin,
AL686,unprocessed,Ctenocephalides felis,felis,2,2,0,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,09-August-2014,Aarti Amin,
AL687,unprocessed,Ctenocephalides felis,felis,2,1,1,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,19-August-2014,Aarti Amin,
AL688,unprocessed,Ctenocephalides felis,felis,3,2,1,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Sutton,51.3614,-0.1940,Felis catus ,owned cat,01-August-2014,Aarti Amin,
AL689,unprocessed,Ctenocephalides felis,felis,6,5,1,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,29-July-2014,Aarti Amin,
AL690,unprocessed,Ctenocephalides felis,felis,4,4,0,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,11-August-2014,Aarti Amin,
AL691,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,31-July-2014,Aarti Amin,
AL692,unprocessed,Ctenocephalides felis,felis,4,3,1,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,20-August-2014,Aarti Amin,
AL693,unprocessed,Ctenocephalides felis,felis,6,1,5,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,11-August-2014,Aarti Amin,
AL694,unprocessed,Ctenocephalides felis,felis,2,2,0,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,11-August-2014,Aarti Amin,
AL696,unprocessed,Ctenocephalides felis,felis,3,3,0,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,08-August-2014,Aarti Amin,
AL697,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Canis lupus familiaris,owned dog,18-July-2014,Aarti Amin,
AL697,unprocessed,Pulex irritans,,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Canis lupus familiaris,owned dog,18-July-2014,Aarti Amin,
AL699,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Slovakia,Bratislava,Dunajska Streda,47.9916,17.6206,Canis lupus familiaris,owned dog,01-September-2014,Barbora Mitkova,
AL700,AL700-1,Ctenocephalides canis,,1,1,0,1,0,0,0,0,,,,,,,,,,Europe,Slovakia,Bratislava,Bratislava,48.1486,17.1077,Canis lupus familiaris,owned dog,01-September-2014,Barbora Mitkova,
AL701,unprocessed,Ctenocephalides canis,,2,2,0,0,0,0,0,0,,,,,,,,,,Europe,Slovakia,Bratislava,Bratislava,48.1486,17.1077,Canis lupus familiaris,owned dog,01-September-2014,Barbora Mitkova,
AL707,unprocessed,Ctenocephalides felis,felis,4,4,0,0,0,0,0,0,,,,,,,,,,Europe,Germany,North Rhine-Westphalia,Wevelinghoven,51.1061,6.6210,Felis catus ,owned cat,23-August-2014,Bettina Graefenstedt,
AL708,unprocessed,Ctenocephalides felis,felis,3,2,1,0,0,0,0,0,,,,,,,,,,Europe,Germany,North Rhine-Westphalia,Wevelinghoven,51.1061,6.6210,Felis catus ,owned cat,23-August-2014,Bettina Graefenstedt,
AL709,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Germany,North Rhine-Westphalia,Wevelinghoven,51.1061,6.6210,Felis catus ,owned cat,23-August-2014,Bettina Graefenstedt,
AL710,unprocessed,Ctenocephalides felis,felis,3,2,1,0,0,0,0,0,,,,,,,,,,Europe,Germany,North Rhine-Westphalia,Wevelinghoven,51.1061,6.6210,Felis catus ,owned cat,31-July-2014,Bettina Graefenstedt,
AL711,unprocessed,Ctenocephalides felis,felis,3,2,1,0,0,0,0,0,,,,,,,,,,Europe,Germany,North Rhine-Westphalia,Wevelinghoven,51.1061,6.6210,Canis lupus familiaris,owned dog,26-November-2014,Bettina Graefenstedt,
AL712,unprocessed,Ctenocephalides felis,felis,2,2,0,0,0,0,0,0,,,,,,,,,,Europe,Germany,North Rhine-Westphalia,Wevelinghoven,51.1061,6.6210,Canis lupus familiaris,owned dog,26-November-2014,Bettina Graefenstedt,
AL713,unprocessed,Ctenocephalides felis,felis,4,4,0,0,0,0,0,0,,,,,,,,,,Europe,Germany,North Rhine-Westphalia,Wevelinghoven,51.1061,6.6210,Canis lupus familiaris,owned dog,18-November-2014,Bettina Graefenstedt,
AL714,unprocessed,Ctenocephalides felis,felis,7,5,2,0,0,0,0,0,,,,,,,,,,Europe,Germany,North Rhine-Westphalia,Wevelinghoven,51.1061,6.6210,Felis catus ,owned cat,12-November-2014,Bettina Graefenstedt,
AL715,unprocessed,Ctenocephalides felis,felis,6,6,0,0,0,0,0,0,,,,,,,,,,Europe,Germany,North Rhine-Westphalia,Wevelinghoven,51.1061,6.6210,Felis catus ,owned cat,10-November-2014,Bettina Graefenstedt,
AL716,unprocessed,Ctenocephalides felis,felis,4,4,0,0,0,0,0,0,,,,,,,,,,Europe,Germany,North Rhine-Westphalia,Wevelinghoven,51.1061,6.6210,Felis catus ,owned cat,10-November-2014,Bettina Graefenstedt,
AL717,unprocessed,Ctenocephalides felis,felis,5,3,2,0,0,0,0,0,,,,,,,,,,Europe,Germany,North Rhine-Westphalia,Wevelinghoven,51.1061,6.6210,Felis catus ,owned cat,20-November-2014,Bettina Graefenstedt,
AL718,unprocessed,Ctenocephalides felis,felis,2,1,1,0,0,0,0,0,,,,,,,,,,Europe,Germany,North Rhine-Westphalia,Wevelinghoven,51.1061,6.6210,Felis catus ,owned cat,20-November-2014,Bettina Graefenstedt,
AL719,unprocessed,Ctenocephalides felis,felis,3,2,1,0,0,0,0,0,,,,,,,,,,Europe,Germany,North Rhine-Westphalia,Wevelinghoven,51.1061,6.6210,Felis catus ,owned cat,20-November-2014,Bettina Graefenstedt,
AL720,unprocessed,Ctenocephalides felis,felis,4,4,0,0,0,0,0,0,,,,,,,,,,Europe,Germany,North Rhine-Westphalia,Wevelinghoven,51.1061,6.6210,Felis catus ,owned cat,28-November-2014,Bettina Graefenstedt,
AL721,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Europe,Germany,North Rhine-Westphalia,Wevelinghoven,51.1061,6.6210,Felis catus ,owned cat,28-November-2014,Bettina Graefenstedt,
AL722,unprocessed,Ctenocephalides felis,unknown,4,2,2,0,0,0,0,0,,,,,,,,,,Africa,Central African Republic,Sangha-Mba�r� prefecture,Bayanga,2.9017,16.2699,Canis lupus familiaris,dog,01-December-2014,David Modry & Andrei Mihalca,
AL723,unprocessed,Ctenocephalides felis,unknown,4,2,2,0,0,0,0,0,,,,,,,,,,Africa,Central African Republic,Sangha-Mba�r� prefecture,Bayanga,2.9017,16.2699,Canis lupus familiaris,dog,01-December-2014,David Modry & Andrei Mihalca,
AL724,unprocessed,Ctenocephalides felis,unknown,4,4,0,0,0,0,0,0,,,,,,,,,,Africa,Central African Republic,Sangha-Mba�r� prefecture,Bayanga,2.9017,16.2699,Canis lupus familiaris,dog,01-December-2014,David Modry & Andrei Mihalca,
AL725,unprocessed,Ctenocephalides felis,unknown,4,4,0,0,0,0,0,0,,,,,,,,,,Africa,Central African Republic,Sangha-Mba�r� prefecture,Bayanga,2.9017,16.2699,Canis lupus familiaris,dog,01-December-2014,David Modry & Andrei Mihalca,
AL726,unprocessed,Ctenocephalides felis,unknown,4,3,1,0,0,0,0,0,,,,,,,,,,Africa,Central African Republic,Sangha-Mba�r� prefecture,Bayanga,2.9017,16.2699,Canis lupus familiaris,dog,01-December-2014,David Modry & Andrei Mihalca,
AL727,unprocessed,Ctenocephalides felis,unknown,4,3,1,0,0,0,0,0,,,,,,,,,,Africa,Central African Republic,Sangha-Mba�r� prefecture,Bayanga,2.9017,16.2699,Canis lupus familiaris,dog,01-December-2014,David Modry & Andrei Mihalca,
AL728,unprocessed,Ctenocephalides felis,unknown,4,1,3,0,0,0,0,0,,,,,,,,,,Africa,Central African Republic,Sangha-Mba�r� prefecture,Bayanga,2.9017,16.2699,Canis lupus familiaris,dog,01-December-2014,David Modry & Andrei Mihalca,
AL729,unprocessed,Ctenocephalides felis,unknown,4,2,2,0,0,0,0,0,,,,,,,,,,Africa,Central African Republic,Sangha-Mba�r� prefecture,Bayanga,2.9017,16.2699,Canis lupus familiaris,dog,01-December-2014,David Modry & Andrei Mihalca,
AL730,unprocessed,Ctenocephalides felis,unknown,4,3,1,0,0,0,0,0,,,,,,,,,,Africa,Central African Republic,Sangha-Mba�r� prefecture,Bayanga,2.9017,16.2699,Canis lupus familiaris,dog,01-December-2014,David Modry & Andrei Mihalca,
AL731,unprocessed,Ctenocephalides felis,unknown,4,1,3,0,0,0,0,0,,,,,,,,,,Africa,Central African Republic,Sangha-Mba�r� prefecture,Bayanga,2.9017,16.2699,Canis lupus familiaris,dog,01-December-2014,David Modry & Andrei Mihalca,
AL732,unprocessed,Ctenocephalides felis,unknown,2,2,0,0,0,0,0,0,,,,,,,,,,Africa,South Africa,Eastern Cape,Great Kei municipality,-32.5771,27.8921,Canis lupus familiaris,dog,08-January-2015,Derek Spielman,
AL733,unprocessed,Ctenocephalides felis,unknown,9,6,3,0,0,0,0,0,,,,,,,,,,Africa,South Africa,Eastern Cape,Great Kei municipality,-32.5771,27.8921,Canis lupus familiaris,dog,08-January-2015,Derek Spielman,
AL734,unprocessed,Echidnophaga larina,,10,7,3,0,0,0,0,0,,,,,,,,,,Africa,South Africa,Eastern Cape,Great Kei municipality,-32.5771,27.8921,Canis lupus familiaris,dog,08-January-2015,Derek Spielman,
AL735,unprocessed,Echidnophaga larina,,1,1,0,0,0,0,0,0,,,,,,,,,,Africa,South Africa,Eastern Cape,Great Kei municipality,-32.5771,27.8921,Canis lupus familiaris,dog,08-January-2015,Derek Spielman,
AL736,unprocessed,Ctenocephalides felis,unknown,3,2,1,0,0,0,0,0,,,,,,,,,,Africa,South Africa,Eastern Cape,Great Kei municipality,-32.5771,27.8921,Canis lupus familiaris,dog,08-January-2015,Derek Spielman,
AL737,unprocessed,Ctenocephalides felis,unknown,9,6,3,0,0,0,0,0,,,,,,,,,,Africa,South Africa,Eastern Cape,Great Kei municipality,-32.5771,27.8921,Canis lupus familiaris,dog,08-January-2015,Derek Spielman,
AL738,unprocessed,Ctenocephalides felis,unknown,1,1,0,0,0,0,0,0,,,,,,,,,,Africa,South Africa,Eastern Cape,Great Kei municipality,-32.5771,27.8921,Canis lupus familiaris,dog,08-January-2015,Derek Spielman,
AL739,unprocessed,Ctenocephalides canis,,5,5,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Victoria,Lara,-38.0167,144.4167,Canis lupus familiaris,owned farm dog,12-March-2015,Sze Fui Hii,
AL740,unprocessed,Ctenocephalides orientis,,11,11,0,0,0,0,0,0,,,,,,,,,,Asia,Indonesia,Bali,Kuta,-8.7238,115.1752,Felis catus & Canis Lupus familiaris,cats and dogs,05-April-2015,Andrea Lawrence,
AL741,unprocessed,Ctenocephalides felis,felis,5,5,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Victoria,Lara,-38.0167,144.4167,Felis catus ,owned cat,18-April-2015,Sze Fui Hii,
AL742,unprocessed,Ctenocephalides canis,,5,4,1,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Victoria,Lara,-38.0167,144.4167,Canis lupus familiaris,owned farm dog,18-April-2015,Sze Fui Hii,
AL743,AL743-1,Ctenocephalides felis,felis,1,0,1,0,0,0,0,0,,,,,,,,,,Oceania,Australia,New South Wales,Fivedock,-33.8651,151.1286,Canis lupus familiaris,owned dog,25-March-2015,Lina Bae,
AL743,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,New South Wales,Fivedock,-33.8651,151.1286,Canis lupus familiaris,owned dog,25-March-2015,Lina Bae,
AL745,AL745-1,Ctenocephalides felis,felis,1,1,0,1,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Mooliabeenie,-31.3116,116.0777,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL745,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Mooliabeenie,-31.3116,116.0777,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL746,unprocessed,Echidnophaga myrmecobii,,1,1,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Dumbleyung,-33.3117,117.7503,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL746,unprocessed,Echidnophaga gallinacea,,3,3,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Dumbleyung,-33.3117,117.7503,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL747,unprocessed,Ctenocephalides felis,felis,4,2,2,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Katanning,-33.6894,117.5551,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL748,unprocessed,Echidnophaga myrmecobii,,1,1,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Darkan,-33.3400,116.7400,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL749,unprocessed,Ctenocephalides felis,felis,5,5,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Mooliabeenie,-31.3116,116.0777,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL749,unprocessed,Leptopsylla segnis,,1,1,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Mooliabeenie,-31.3116,116.0777,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL750,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Katanning,-33.6894,117.5551,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL751,unprocessed,Ctenocephalides felis,felis,4,3,1,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Mooliabeenie,-31.3116,116.0777,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL751,unprocessed,Echidnophaga gallinacea,,2,2,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Mooliabeenie,-31.3116,116.0777,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL752,unprocessed,Echidnophaga gallinacea,,3,3,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Gingin,-31.3400,115.9100,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL753,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Katanning,-33.6894,117.5551,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL754,unprocessed,Echidnophaga gallinacea,,2,1,1,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Gingin,-31.3400,115.9100,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL756,unprocessed,Echidnophaga gallinacea,,7,5,2,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Coorow,-29.8835,116.0225,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL757,unprocessed,Ctenocephalides felis,felis,16,13,3,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Bindoon ,-31.3800,116.0970,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL758,AL758-1,Ctenocephalides felis,felis,1,1,0,1,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Bindoon ,-31.3800,116.0970,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL758,unprocessed,Ctenocephalides felis,felis,26,22,4,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Bindoon ,-31.3800,116.0970,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL759,unprocessed,Ctenocephalides felis,felis,2,1,1,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Mooliabeenie,-31.3116,116.0777,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL760,unprocessed,Echidnophaga myrmecobii,,1,1,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Latham,-29.7575,116.4434,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL761,unprocessed,Ctenocephalides felis,felis,2,0,2,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Katanning,-33.6894,117.5551,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL762,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Mooliabeenie,-31.3116,116.0777,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL763,unprocessed,Echidnophaga gallinacea,,1,0,1,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Dumbleyung,-33.3117,117.7503,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL764,unprocessed,Echidnophaga gallinacea,,74,52,22,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Western Australia,Gingin,-31.3400,115.9100,Felis catus,feral cat,01-January-2015,Narelle Dybing,
AL766,unprocessed,Ctenocephalides felis,felis,5,5,0,0,0,0,0,0,,,,,,,,,,Asia,India,Sikkim,Sikkim,27.5330,88.5122,Canis lupus familiaris,stray dog,01-July-2008,Sze Fui Hii,
AL767,AL767-1,Ctenocephalides orientis,,1,0,1,1,0,0,0,0,,PCR failed,,,,,,,,Asia,India,Sikkim,Sikkim,27.5330,88.5122,Canis lupus familiaris,stray dog,01-July-2008,Sze Fui Hii,PCR amplification failure
AL767,AL767-2,Ctenocephalides orientis,,1,1,0,1,0,0,0,0,,PCR failed,,,,,,,,Asia,India,Sikkim,Sikkim,27.5330,88.5122,Canis lupus familiaris,stray dog,01-July-2008,Sze Fui Hii,PCR amplification failure
AL767,unprocessed,Ctenocephalides orientis,,4,2,2,0,0,0,0,0,,,,,,,,,,Asia,India,Sikkim,Sikkim,27.5330,88.5122,Canis lupus familiaris,stray dog,01-July-2008,Sze Fui Hii,
